row ID	130.mzML Peak area	131.mzML Peak area	132.mzML Peak area	133.mzML Peak area	134.mzML Peak area	135.mzML Peak area	136.mzML Peak area	40.mzML Peak area	41.mzML Peak area	42.mzML Peak area	43.mzML Peak area	44.mzML Peak area	45.mzML Peak area	46.mzML Peak area
101	360164.658	444928.6846	392235.7482	405626.5919	244030.1971	58913.21866	508873.1722	819805.92	383170.7011	391027.6148	723999.7437	1484058.346	1081396.579	1261644.548
102	764699.7355	885821.5971	604750.558	781082.6554	380861.9096	1106227.239	615030.5867	1519463.007	1225472.372	898707.9989	1259748.612	1371040.161	1235663.105	1460494.549
103	3.4e+07	8821123.569	26800000	3123646.557	6756966.448	6838377.301	27100000	31600000	2.4e+07	20600000	29500000	24600000	31400000	2.9e+07
104	1223143.758	4518124.089	3023852.271	2276967.006	1725938.033	1194678.967	255247.8835	10050.02214	71812.99647	129474.1055	14888.7782	8787.949796	4168500.354	49380.27844
105	52029.86942	850804.5236	361036.9019	571062.8955	523481.3132	262714.6382	294306.7079	16784.63092	29856.57101	44709.98413	75055.94067	16464.78379	183582.871	140863.948
106	1389262.046	1778323.253	2646070.304	4268986.936	3794689.57	3070444.148	4542745.309	858303.3352	1157202.258	1300882.355	1353410.512	1223727.571	1206323.524	1486596.451
107	5713735.282	3201774.056	4362196.181	562994.8462	2271162.431	3298290.148	2370954.543	3716268.23	3937281.295	1418800.376	1456639.607	2746730.81	2616152.704	3689152.765
108	1680647.589	1268314.821	1371207.603	374613.9755	688717.2294	979042.6137	1390173.965	3089453.806	2034720.738	1278223.151	1623208.363	1550290.429	1691075.582	4255838.866
109	6161524.203	4874379.508	4504279.432	655878.6782	703113.9243	512548.6068	5143119.192	8980341.25	7754871.35	6463972.769	9743590.544	6606622.306	12200000	9891447.862
110	4006772.367	931808.4089	2674130.913	657292.2419	822274.1425	1129518.936	826797.5888	765310.4515	1521558.351	1177253.335	1589719.447	319418.4584	567349.5109	980540.8225
111	3734148.717	3403951.436	3747833.822	3513121.877	3361301.521	3312610.175	3503868.708	3398724.649	3664760.868	3710473.42	3679453.058	3222705.384	3456934.241	3588314.872
112	770004.6194	922655.8728	777481.2496	1345208.584	1130635.773	1212885.936	715304.2228	831848.5953	641513.857	733492.3663	505649.1896	378883.4338	175418.7826	298474.5599
113	92700000	84700000	97600000	93800000	93400000	89400000	89700000	85700000	85900000	82100000	79100000	88300000	82100000	90400000
114	546215.1705	528426.585	604735.3562	600107.619	495921.0855	869703.8123	553925.6246	603394.505	595576.7802	540698.3185	551516.4802	570115.6751	653596.7472	615522.4335
115	10200000	3119214.563	3370165.407	1066567.748	1600770.669	1150032.894	5832507.4	11400000	8260650.24	7848588.81	10600000	8741433.854	1.1e+07	1.4e+07
116	1054275.092	951038.522	1051665.182	973186.1337	1018463.262	1016228.955	972465.7971	1081046.25	1038825.338	1010081.304	1018682.353	1051315.142	988853.7734	985471.1722
