row ID	1.mzML Peak area	100.mzML Peak area	101.mzML Peak area	102.mzML Peak area	103.mzML Peak area	104.mzML Peak area	105.mzML Peak area	106.mzML Peak area	15.mzML Peak area	16.mzML Peak area	17.mzML Peak area	18.mzML Peak area	19.mzML Peak area	2.mzML Peak area	20.mzML Peak area	21.mzML Peak area	22.mzML Peak area	3.mzML Peak area	4.mzML Peak area	5.mzML Peak area	6.mzML Peak area	7.mzML Peak area	8.mzML Peak area	80.mzML Peak area	81.mzML Peak area	82.mzML Peak area	83.mzML Peak area	84.mzML Peak area	85.mzML Peak area	86.mzML Peak area	87.mzML Peak area	88.mzML Peak area	89.mzML Peak area	96.mzML Peak area	97.mzML Peak area	98.mzML Peak area	99.mzML Peak area
815	9534316.63	4984612.513	3305944.226	3537419.538	2532464.257	2467151.745	4752466.775	2403247.381	19100000	10200000	37300000	23200000	12100000	3503172.632	34300000	10700000	20200000	11800000	4827619.801	7709620.565	7156206.094	3817109.668	23100000	6689565.466	4420260.996	3607238.878	2580727.995	5389155.304	1157163.281	5445892.038	14100000	2656471.395	6116355.421	3368205.676	10200000	6354715.483	1281571.439
816	3318463.95	3073838.71	1574511.345	1889119.458	1159328.62	1222638.929	2385113.754	1183493.605	7300784.031	4582648.285	13300000	7947505.637	4822421.664	1688021.364	12200000	4775896.758	8286845.651	4131815.82	2049472.819	1870218.278	2655712.887	1936992.605	6200615.171	1752754.008	1877788.296	1789287.509	1379815.98	2130410.758	570164.3524	2551853.956	6148616.184	1694021.831	2408456.759	1935749.977	4272936.97	2446808.17	688667.9712
817	8042.705325	1583308.157	1648153.848	207401.8316	114367.942	166307.0404	116161.886	72202.66706	19370.88955	7051.668751	18996.06273	15224.58809	6487.7021	279511.3626	4094.576987	12747.02985	12491.36282	27861.17249	2538611.01	1480799.338	8652.124777	29165.92615	12053.56569	22423.20951	9366.545327	106942.5475	191426.831	37518.85423	355654.3801	543334.9695	7972.806396	168485.1674	101059.8955	1421070.751	138080.567	1399255.165	1961143.656
818	1048293.424	5575266.695	3548286.469	173855.9237	251294.6619	392839.8786	240047.1146	548374.4287	409078.3066	303345.1398	473145.6344	108513.2433	297197.8741	1056723.496	902692.1652	363159.195	237533.8494	492701.6476	2694750.23	907131.5386	766591.0268	180180.6448	110395.1363	3058562.18	2435090.364	515527.8198	963068.3312	4073921.67	3281390.102	58852.3393	133303.7385	119833.2227	1480068.112	3137050.948	2435695.668	911993.3923	1724421.861
819	399065.195	60522.31329	127378.2646	257506.1245	235041.9956	299629.4309	85896.77504	181186.0673	207390.6346	360483.2675	519293.7467	264141.617	652419.0208	38178.47876	452605.1711	466178.8947	350370.0185	833012.6841	29748.18379	354890.5907	619856.5997	155423.7971	716331.6187	700263.612	456131.8426	427151.7104	1589954.524	6390385.301	491380.2829	389111.2341	668836.8762	322443.327	2213946.203	206875.9295	285713.3221	366625.7261	142772.8427
820	1180725.017	3017161.02	2552216.464	626605.8083	931782.2076	779847.7019	2302052.279	611461.053	2429330.081	1208076.183	2465961.347	261422.3853	539855.1818	467732.2378	583654.5152	1419965.414	1407871.904	5981888.977	6082338.078	1875361.085	1863431.365	1612470.198	1891120.123	1710853.049	5104400.873	3017938.913	3131604.108	1994415.34	1073150.314	2984786.527	3855627.512	311292.5999	630683.1901	1997610.432	837636.4271	1173444.814	1873785.621
821	246013.4713	235222.9762	297549.2166	280699.616	467694.3259	224971.0896	384851.6027	343136.1696	169294.918	211149.4782	168953.3282	234304.8422	134834.4091	205665.7664	236027.0285	238949.6659	296634.8894	176285.5238	201009.9813	78999.75715	177727.9085	199112.941	189681.7931	452016.3337	425093.2759	338450.643	384100.2029	347636.8535	486099.6944	552846.7615	357798.1588	270703.6456	394539.5698	219596.0095	468122.3838	345396.7485	257004.9335
822	35343.4722	3475232.98	2859551.986	117751.6721	146963.9551	784403.6174	85726.29585	298984.8478	3559.798311	4109.480704	73146.64008	4064.289699	4266.685197	506066.3775	15707.95905	0	0	138147.372	1728007.179	1051100.991	10327.5709	432.1007442	2009.006994	62246.71326	88042.21781	645737.9126	978454.1923	160175.7382	587308.3215	720082.6677	30511.74207	532499.2067	286092.1214	2100429.328	350424.871	2601906.708	3186135.48
823	34166.38311	10700000	7375221.423	844555.4754	628194.857	1484029.594	309996.4834	764262.019	114913.4618	9994.733508	19633.85005	35502.33623	18717.58534	856041.5312	36575.18724	29016.09009	10664.07514	83600.5291	3969802.454	1300207.143	28742.96845	94142.58071	30640.97504	283571.1264	130786.8578	1074548.399	1889086.025	518334.289	2444947.105	1075113.179	58392.53785	872336.4231	277299.7343	4814410.09	1216164.496	5226461.643	6856169.785
824	1128003.33	1029844.684	1786222.537	1353480.729	2122033.606	984913.0294	3757065.277	1633494.284	739978.7461	998715.2722	768872.1419	1176548.966	723210.2357	1052927.112	1142912.72	1167712.032	1344786.767	802409.6902	948649.8942	538062.8496	840919.604	874293.0721	814119.568	2151103.955	1962859.752	1490267.676	1922749.337	1912542.695	3884366.759	4400062.576	2000121.465	1311616.035	1780334.823	1183375.263	3766796.776	1599770.787	1035064.829
