file_usi	Delta Mass	USI	Charge	Cosine	Matching Peaks	Dataset	Status	Filepath	Filename	MassIVE	Taxaname_file	Taxaname_alternative	Taxa_NCBI	Taxa_Assigment	ReDU_Availability	Blank	QC	Scan
mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D5_P2-D-5_01_31667	-0.0	mzspec:MSV000082481:48hrs_7Crtl_HenTrial1_D5_P2-D-5_01_31667:scan:240	1	0.73	5	MSV000082481	NoID	MSV000082481/ccms_peak/2_Control_Plates/48Hrs_7Ctrl/48hrs_7Crtl_HenTrial1_D5_P2-D-5_01_31667.mzML	MSV000082481/48hrs_7Crtl_HenTrial1_D5_P2-D-5_01_31667.mzML	MSV000082481	Bacteria		QC	automatic	No	No	Yes	3870
mzspec:MSV000082481:48hrs_Daw3Inter_HenTrial1_E11_P1-E-11_01_28575	-0.0	mzspec:MSV000082481:48hrs_Daw3Inter_HenTrial1_E11_P1-E-11_01_28575:scan:225	1	0.73	4	MSV000082481	NoID	MSV000082481/ccms_peak/3_InteractionZone_Daw3/48hrs_Daw3_Inter/48hrs_Daw3Inter_HenTrial1_E11_P1-E-11_01_28575.mzML	MSV000082481/48hrs_Daw3Inter_HenTrial1_E11_P1-E-11_01_28575.mzML	MSV000082481	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_536_RF5_01_22340	0.0	mzspec:MSV000082045:Anaerobic_RCM_536_RF5_01_22340:scan:859	1	0.72	10	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_536_RF5_01_22340.mzXML	MSV000082045/Anaerobic_RCM_536_RF5_01_22340.mzXML	MSV000082045	Propionibacterium acnes HL082PA2	Cutibacterium acnes HL082PA2	765121	automatic	Yes	No	No	3870
mzspec:MSV000084945:BcK562_LB_SPE_24_2_P1-A-3_01_4044	0.0	mzspec:MSV000084945:BcK562_LB_SPE_24_2_P1-A-3_01_4044:scan:1286	1	0.72	10	MSV000084945	NoID	MSV000084945/ccms_peak/Dataset2_2/B.cenocepacia_K56-2/No_trimethoprim/BcK562_LB_SPE_24_2_P1-A-3_01_4044.mzML	MSV000084945/BcK562_LB_SPE_24_2_P1-A-3_01_4044.mzML	MSV000084945	Burkholderia cenocepacia K56-2	Burkholderia cenocepacia K56-2Sokol	985075	manual	Yes	No	No	3870
mzspec:MSV000080251:VVP320_TH_BG5_01_27386	0.0	mzspec:MSV000080251:VVP320_TH_BG5_01_27386:scan:1549	1	0.72	9	MSV000080251	NoID	MSV000080251/ccms_peak/CFStrains/Strains/VVP320_TH_BG5_01_27386.mzXML	MSV000080251/VVP320_TH_BG5_01_27386.mzXML	MSV000080251	Staphylococcus aureus		1280	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_505_RD3_01_22312	0.0	mzspec:MSV000082045:Anaerobic_RCM_505_RD3_01_22312:scan:862	1	0.72	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_505_RD3_01_22312.mzXML	MSV000082045/Anaerobic_RCM_505_RD3_01_22312.mzXML	MSV000082045	Propionibacterium acnes HL030PA2	Cutibacterium acnes HL030PA2	765104	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_555_RF9_01_22344	0.0	mzspec:MSV000082045:Anaerobic_RCM_555_RF9_01_22344:scan:860	1	0.72	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_555_RF9_01_22344.mzXML	MSV000082045/Anaerobic_RCM_555_RF9_01_22344.mzXML	MSV000082045	Propionibacterium acnes HL110PA4	Cutibacterium acnes HL110PA4	765080	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_534_RF4_01_22339	0.0	mzspec:MSV000082045:Anaerobic_RCM_534_RF4_01_22339:scan:865	1	0.72	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_534_RF4_01_22339.mzXML	MSV000082045/Anaerobic_RCM_534_RF4_01_22339.mzXML	MSV000082045	Propionibacterium acnes HL078PA1	Cutibacterium acnes HL078PA1	765071	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_516_RE1_01_22323	0.0	mzspec:MSV000082045:Anaerobic_RCM_516_RE1_01_22323:scan:872	1	0.72	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_516_RE1_01_22323.mzXML	MSV000082045/Anaerobic_RCM_516_RE1_01_22323.mzXML	MSV000082045	Propionibacterium acnes HL045PA1	Cutibacterium acnes HL045PA1	765068	automatic	Yes	No	No	3870
mzspec:MSV000080922:Cave_Bacteria_Plate3_BF3_01_21285	-0.0	mzspec:MSV000080922:Cave_Bacteria_Plate3_BF3_01_21285:scan:641	1	0.72	8	MSV000080922	NoID	MSV000080922/ccms_peak/mzXML/Plate C/Samples/Cave_Bacteria_Plate3_BF3_01_21285.mzXML	MSV000080922/Cave_Bacteria_Plate3_BF3_01_21285.mzXML	MSV000080922	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000084475:HM_271_BB4_01_46892	-0.0	mzspec:MSV000084475:HM_271_BB4_01_46892:scan:803	1	0.72	8	MSV000084475	NoID	MSV000084475/peak/mzXML files/RCM plates/Plate 3A/HM_271_BB4_01_46892.mzXML	MSV000084475/HM_271_BB4_01_46892.mzXML	MSV000084475	Prevotella nigrescens F0103		702439	automatic	Yes	No	No	3870
mzspec:MSV000084475:HM_726_BB4_01_46353	-0.0	mzspec:MSV000084475:HM_726_BB4_01_46353:scan:814	1	0.72	8	MSV000084475	NoID	MSV000084475/peak/mzXML files/RCM plates/Plate 1A/HM_726_BB4_01_46353.mzXML	MSV000084475/HM_726_BB4_01_46353.mzXML	MSV000084475	Bacteroides cellulosilyticus CL02T12C19		997874	automatic	Yes	No	No	3870
mzspec:MSV000083956:blank_RH7_01_22979	0.0	mzspec:MSV000083956:blank_RH7_01_22979:scan:967	1	0.72	8	MSV000083956	NoID	MSV000083956/peak/Plate2_NonEpi_NoPK_Blank Empty_mzXML files/blank_RH7_01_22979.mzXML	MSV000083956/blank_RH7_01_22979.mzXML	MSV000083956	Staphylococcus sp.		Blank	automatic	No	Yes	No	3870
mzspec:MSV000086550:PLT7_H2_BH2_01_58136	0.0	mzspec:MSV000086550:PLT7_H2_BH2_01_58136:scan:605	1	0.72	8	MSV000086550	NoID	MSV000086550/peak/mzXML/DATA_PLATE_7_mzXML/PLT7_H2_BH2_01_58136.mzXML	MSV000086550/PLT7_H2_BH2_01_58136.mzXML	MSV000086550	Micrococcus sp. AF063.410	Micrococcus sp.	1271	manual	Yes	No	No	3870
mzspec:MSV000083500:9238	0.0	mzspec:MSV000083500:9238:scan:522	1	0.72	8	MSV000083500	NoID	MSV000083500/ccms_peak/9238.mzML	MSV000083500/9238.mzML	MSV000083500	Pseudomonas aeruginosa PA14		652611	automatic	No	No	No	3870
mzspec:MSV000082045:Anaerobic_TSB_573_RB3_01_22453	0.0	mzspec:MSV000082045:Anaerobic_TSB_573_RB3_01_22453:scan:883	1	0.72	8	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_TSB_573_RB3_01_22453.mzXML	MSV000082045/Anaerobic_TSB_573_RB3_01_22453.mzXML	MSV000082045	Treponema denticola US-Trep		999440	automatic	Yes	No	No	3870
mzspec:MSV000086673:PLT1_B5_BB5_01_60856	0.0	mzspec:MSV000086673:PLT1_B5_BB5_01_60856:scan:616	1	0.72	8	MSV000086673	NoID	MSV000086673/peak/pilot_anaerob_biotransf_48h_maxis_mzXML/PLT1_B5_BB5_01_60856.mzXML	MSV000086673/PLT1_B5_BB5_01_60856.mzXML	MSV000086673	Bacteroides vulgatus 435590	Phocaeicola vulgatus	821	manual	Yes	No	No	3870
mzspec:MSV000080922:Cave_Bacteria_Plate1_RE5_01_19397	0.0	mzspec:MSV000080922:Cave_Bacteria_Plate1_RE5_01_19397:scan:596	1	0.72	8	MSV000080922	NoID	MSV000080922/ccms_peak/mzXML/Plate A/Samples/Cave_Bacteria_Plate1_RE5_01_19397.mzXML	MSV000080922/Cave_Bacteria_Plate1_RE5_01_19397.mzXML	MSV000080922	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000083766:U01_COM01_LAC_CAMHB_08_090min	-0.0	mzspec:MSV000083766:U01_COM01_LAC_CAMHB_08_090min:scan:1339	1	0.72	8	MSV000083766	NoID	MSV000083766/peak/U01_COM01_LAC_CAMHB_08_090min.mzXML	MSV000083766/U01_COM01_LAC_CAMHB_08_090min.mzXML	MSV000083766	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000083773:U01_COM01_LAC_CAMHB_08_090min	-0.0	mzspec:MSV000083773:U01_COM01_LAC_CAMHB_08_090min:scan:1339	1	0.72	8	MSV000083773	NoID	MSV000083773/ccms_peak/U01_COM01_LAC_CAMHB_08_090min.mzML	MSV000083773/U01_COM01_LAC_CAMHB_08_090min.mzML	MSV000083773	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000082045:Aerobic_RCM_897_RC10_01_22552	0.0	mzspec:MSV000082045:Aerobic_RCM_897_RC10_01_22552:scan:864	1	0.72	8	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Aerobic_RCM_897_RC10_01_22552.mzXML	MSV000082045/Aerobic_RCM_897_RC10_01_22552.mzXML	MSV000082045	Staphylococcus epidermidis NIHLM003		979218	automatic	Yes	No	No	3870
mzspec:MSV000086550:PLT3_E8_BE8_01_57691	0.0	mzspec:MSV000086550:PLT3_E8_BE8_01_57691:scan:624	1	0.72	7	MSV000086550	NoID	MSV000086550/ccms_peak/mzXML/DATA_PLATE_3_mzXML/PLT3_E8_BE8_01_57691.mzML	MSV000086550/PLT3_E8_BE8_01_57691.mzML	MSV000086550	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000083263:0274_RE6_01_3780	0.0	mzspec:MSV000083263:0274_RE6_01_3780:scan:1624	1	0.72	7	MSV000083263	NoID	MSV000083263/ccms_peak/0274_RE6_01_3780.mzML	MSV000083263/0274_RE6_01_3780.mzML	MSV000083263	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000086550:PLT5_A6_BA6_01_57962	0.0	mzspec:MSV000086550:PLT5_A6_BA6_01_57962:scan:606	1	0.72	7	MSV000086550	NoID	MSV000086550/peak/mzXML/DATA_PLATE_5_mzXML/PLT5_A6_BA6_01_57962.mzXML	MSV000086550/PLT5_A6_BA6_01_57962.mzXML	MSV000086550	Staphylococcus sp. FM063.104	Staphylococcus sp.	29387	manual	Yes	No	No	3870
mzspec:MSV000083773:U01_COM01_LAC_RPMI_05_180min	-0.0	mzspec:MSV000083773:U01_COM01_LAC_RPMI_05_180min:scan:1337	1	0.72	7	MSV000083773	NoID	MSV000083773/ccms_peak/U01_COM01_LAC_RPMI_05_180min.mzML	MSV000083773/U01_COM01_LAC_RPMI_05_180min.mzML	MSV000083773	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000081381:401M	-0.0	mzspec:MSV000081381:401M:scan:247	1	0.72	7	MSV000081381	NoID	MSV000081381/ccms_peak/198rootbacteria/401M.mzML	MSV000081381/401M.mzML	MSV000081381	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000086550:PLT8_A5_GA5_01_58277	0.0	mzspec:MSV000086550:PLT8_A5_GA5_01_58277:scan:599	1	0.72	7	MSV000086550	NoID	MSV000086550/ccms_peak/mzXML/DATA_PLATE_8_mzXML/PLT8_A5_GA5_01_58277.mzML	MSV000086550/PLT8_A5_GA5_01_58277.mzML	MSV000086550	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000083766:U01_COM01_LAC_CAMHB_08_180min	-0.0	mzspec:MSV000083766:U01_COM01_LAC_CAMHB_08_180min:scan:1341	1	0.72	7	MSV000083766	NoID	MSV000083766/peak/U01_COM01_LAC_CAMHB_08_180min.mzXML	MSV000083766/U01_COM01_LAC_CAMHB_08_180min.mzXML	MSV000083766	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000086550:PLT10_B7_GB7_01_58509	0.0	mzspec:MSV000086550:PLT10_B7_GB7_01_58509:scan:600	1	0.72	7	MSV000086550	NoID	MSV000086550/peak/mzXML/DATA_PLATE_10_mzXML/PLT10_B7_GB7_01_58509.mzXML	MSV000086550/PLT10_B7_GB7_01_58509.mzXML	MSV000086550	Staphylococcus sp. FM063.208	Staphylococcus sp.	29387	manual	Yes	No	No	3870
mzspec:MSV000086550:PLT6_H10_GH10_01_57991	0.0	mzspec:MSV000086550:PLT6_H10_GH10_01_57991:scan:605	1	0.72	7	MSV000086550	NoID	MSV000086550/ccms_peak/mzXML/DATA_PLATE_6_mzXML/PLT6_H10_GH10_01_57991.mzML	MSV000086550/PLT6_H10_GH10_01_57991.mzML	MSV000086550	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000087793:BcK562_LB_SPE_24_2_P1-A-3_01_4044	0.0	mzspec:MSV000087793:BcK562_LB_SPE_24_2_P1-A-3_01_4044:scan:1286	1	0.72	7	MSV000087793	NoID	MSV000087793/ccms_peak/No_trimethoprim/BcK562_LB_SPE_24_2_P1-A-3_01_4044.mzML	MSV000087793/BcK562_LB_SPE_24_2_P1-A-3_01_4044.mzML	MSV000087793	Burkholderia cenocepacia		95486	automatic	No	No	No	3870
mzspec:MSV000083766:U01_COM01_LAC_RPMI_05_180min	-0.0	mzspec:MSV000083766:U01_COM01_LAC_RPMI_05_180min:scan:1337	1	0.72	7	MSV000083766	NoID	MSV000083766/peak/U01_COM01_LAC_RPMI_05_180min.mzXML	MSV000083766/U01_COM01_LAC_RPMI_05_180min.mzXML	MSV000083766	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000087130:PLT4_H11	-0.0	mzspec:MSV000087130:PLT4_H11:scan:1745	1	0.72	7	MSV000087130	NoID	MSV000087130/ccms_peak/Bt_raw/PLT4_H11.mzML	MSV000087130/PLT4_H11.mzML	MSV000087130	Bacteroides thetaiotaomicron		818	automatic	No	No	No	3870
mzspec:MSV000087997:BcK562_LB_SPE_24_2_P1-A-3_01_4044	0.0	mzspec:MSV000087997:BcK562_LB_SPE_24_2_P1-A-3_01_4044:scan:1286	1	0.72	7	MSV000087997	NoID	MSV000087997/peak/No_trimethoprim/BcK562_LB_SPE_24_2_P1-A-3_01_4044.mzXML	MSV000087997/BcK562_LB_SPE_24_2_P1-A-3_01_4044.mzXML	MSV000087997	Burkholderia		32008	automatic	No	No	No	3870
mzspec:MSV000080251:VVP072_TH_GF12_01_27073	0.0	mzspec:MSV000080251:VVP072_TH_GF12_01_27073:scan:1529	1	0.72	7	MSV000080251	NoID	MSV000080251/ccms_peak/CFStrains/Strains/VVP072_TH_GF12_01_27073.mzXML	MSV000080251/VVP072_TH_GF12_01_27073.mzXML	MSV000080251	Pseudomonas aeruginosa		287	automatic	Yes	No	No	3870
mzspec:MSV000083773:U01_COM01_LAC_CAMHB_08_180min	-0.0	mzspec:MSV000083773:U01_COM01_LAC_CAMHB_08_180min:scan:1341	1	0.72	7	MSV000083773	NoID	MSV000083773/ccms_peak/U01_COM01_LAC_CAMHB_08_180min.mzML	MSV000083773/U01_COM01_LAC_CAMHB_08_180min.mzML	MSV000083773	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000083500:9239	0.0	mzspec:MSV000083500:9239:scan:523	1	0.72	7	MSV000083500	NoID	MSV000083500/ccms_peak/9239.mzML	MSV000083500/9239.mzML	MSV000083500	Pseudomonas aeruginosa PA14		652611	automatic	No	No	No	3870
mzspec:MSV000083956:S. lugdunensis_RF4_01_22968	0.0	mzspec:MSV000083956:S. lugdunensis_RF4_01_22968:scan:932	1	0.72	6	MSV000083956	NoID	MSV000083956/peak/Plate2_NonEpi_NoPK_Isolates_mzXML files/S. lugdunensis_RF4_01_22968.mzXML	MSV000083956/S. lugdunensis_RF4_01_22968.mzXML	MSV000083956	Staphylococcus sp.		29387	automatic	No	No	No	3870
mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_G7_P1-G-7_01_28843	0.01	mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_G7_P1-G-7_01_28843:scan:228	1	0.72	6	MSV000082481	NoID	MSV000082481/ccms_peak/3_InteractionZone_Daw3/24hrs_Daw3_Inter/24hrs_Daw3Inter_HenTrial1_G7_P1-G-7_01_28843.mzML	MSV000082481/24hrs_Daw3Inter_HenTrial1_G7_P1-G-7_01_28843.mzML	MSV000082481	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_D2_P1-D-2_01_28760	-0.0	mzspec:MSV000082481:24hrs_Daw3Inter_HenTrial1_D2_P1-D-2_01_28760:scan:227	1	0.72	5	MSV000082481	NoID	MSV000082481/ccms_peak/3_InteractionZone_Daw3/24hrs_Daw3_Inter/24hrs_Daw3Inter_HenTrial1_D2_P1-D-2_01_28760.mzML	MSV000082481/24hrs_Daw3Inter_HenTrial1_D2_P1-D-2_01_28760.mzML	MSV000082481	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000085417:TE4052_LB	-0.0	mzspec:MSV000085417:TE4052_LB:scan:1385	1	0.72	5	MSV000085417	NoID	MSV000085417/ccms_peak/TE31/TE4052_LB.mzML	MSV000085417/TE4052_LB.mzML	MSV000085417	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_399_RD5_01_22403	0.0	mzspec:MSV000082045:Anaerobic_RCM_399_RD5_01_22403:scan:863	1	0.71	10	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_399_RD5_01_22403.mzXML	MSV000082045/Anaerobic_RCM_399_RD5_01_22403.mzXML	MSV000082045	Lactobacillus gasseri EX336960VC02		858667	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_372_RE1_01_22412	0.0	mzspec:MSV000082045:Anaerobic_RCM_372_RE1_01_22412:scan:870	1	0.71	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_372_RE1_01_22412.mzXML	MSV000082045/Anaerobic_RCM_372_RE1_01_22412.mzXML	MSV000082045	Lactobacillus jensenii EX849587VC03		858663	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_497_RC7_01_22303	0.0	mzspec:MSV000082045:Anaerobic_RCM_497_RC7_01_22303:scan:864	1	0.71	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_497_RC7_01_22303.mzXML	MSV000082045/Anaerobic_RCM_497_RC7_01_22303.mzXML	MSV000082045	Propionibacterium acnes HL013PA1	Cutibacterium acnes HL013PA1	765069	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM_524_RE8_01_22330	0.0	mzspec:MSV000082045:Anaerobic_RCM_524_RE8_01_22330:scan:854	1	0.71	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM_524_RE8_01_22330.mzXML	MSV000082045/Anaerobic_RCM_524_RE8_01_22330.mzXML	MSV000082045	Propionibacterium acnes HL056PA1	Cutibacterium acnes HL056PA1	765119	automatic	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_BHI_1037_BE8_01_23074	0.0	mzspec:MSV000082045:Anaerobic_BHI_1037_BE8_01_23074:scan:873	1	0.71	9	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_BHI_1037_BE8_01_23074.mzXML	MSV000082045/Anaerobic_BHI_1037_BE8_01_23074.mzXML	MSV000082045	Capnocytophaga sputigena CC21 001D	Capnocytophaga sputigena CC21_001D	1073354	manual	Yes	No	No	3870
mzspec:MSV000082045:Anaerobic_RCM__49_RG1_01_24993	0.0	mzspec:MSV000082045:Anaerobic_RCM__49_RG1_01_24993:scan:863	1	0.71	8	MSV000082045	NoID	MSV000082045/peak/HMP/Samples/Anaerobic_RCM__49_RG1_01_24993.mzXML	MSV000082045/Anaerobic_RCM__49_RG1_01_24993.mzXML	MSV000082045	Veillonella sp. 6 1 27	Veillonella sp. 6_1_27	450749	manual	Yes	No	No	3870
mzspec:MSV000086550:PLT2_H8_GH8_01_57570	0.0	mzspec:MSV000086550:PLT2_H8_GH8_01_57570:scan:605	1	0.71	8	MSV000086550	NoID	MSV000086550/peak/mzXML/DATA_PLATE_2_mzXML/PLT2_H8_GH8_01_57570.mzXML	MSV000086550/PLT2_H8_GH8_01_57570.mzXML	MSV000086550	Staphylococcus sp. AM069.004	Staphylococcus sp.	29387	manual	Yes	No	No	3870
mzspec:MSV000086550:PLT11_C10_BC10_01_58615	0.0	mzspec:MSV000086550:PLT11_C10_BC10_01_58615:scan:600	1	0.71	8	MSV000086550	NoID	MSV000086550/ccms_peak/mzXML/DATA_PLATE_11_mzXML/PLT11_C10_BC10_01_58615.mzML	MSV000086550/PLT11_C10_BC10_01_58615.mzML	MSV000086550	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000080251:VVP078_TH_GG6_01_27081	0.0	mzspec:MSV000080251:VVP078_TH_GG6_01_27081:scan:1558	1	0.71	8	MSV000080251	NoID	MSV000080251/ccms_peak/CFStrains/Strains/VVP078_TH_GG6_01_27081.mzXML	MSV000080251/VVP078_TH_GG6_01_27081.mzXML	MSV000080251	Pseudomonas aeruginosa		287	automatic	Yes	No	No	3870
mzspec:MSV000080251:VVP321_TH_BG6_01_27387	0.0	mzspec:MSV000080251:VVP321_TH_BG6_01_27387:scan:1549	1	0.71	8	MSV000080251	NoID	MSV000080251/ccms_peak/CFStrains/Strains/VVP321_TH_BG6_01_27387.mzXML	MSV000080251/VVP321_TH_BG6_01_27387.mzXML	MSV000080251	Pseudomonas aeruginosa		287	automatic	Yes	No	No	3870
mzspec:MSV000083500:9208	-0.0	mzspec:MSV000083500:9208:scan:525	1	0.71	8	MSV000083500	NoID	MSV000083500/ccms_peak/9208.mzML	MSV000083500/9208.mzML	MSV000083500	Pseudomonas aeruginosa PA14		652611	automatic	No	No	No	3870
mzspec:MSV000083766:U01_COM01_LAC_CAMHB_02_030min	-0.0	mzspec:MSV000083766:U01_COM01_LAC_CAMHB_02_030min:scan:1319	1	0.71	7	MSV000083766	NoID	MSV000083766/peak/U01_COM01_LAC_CAMHB_02_030min.mzXML	MSV000083766/U01_COM01_LAC_CAMHB_02_030min.mzXML	MSV000083766	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000086550:PLT3_B3_BB3_01_57724	0.0	mzspec:MSV000086550:PLT3_B3_BB3_01_57724:scan:612	1	0.71	7	MSV000086550	NoID	MSV000086550/ccms_peak/mzXML/DATA_PLATE_3_mzXML/PLT3_B3_BB3_01_57724.mzML	MSV000086550/PLT3_B3_BB3_01_57724.mzML	MSV000086550	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000086550:PLT6_D8_GD8_01_58028	0.0	mzspec:MSV000086550:PLT6_D8_GD8_01_58028:scan:606	1	0.71	7	MSV000086550	NoID	MSV000086550/peak/mzXML/DATA_PLATE_6_mzXML/PLT6_D8_GD8_01_58028.mzXML	MSV000086550/PLT6_D8_GD8_01_58028.mzXML	MSV000086550	Micrococcus sp. AF054.008	Micrococcus sp.	1271	manual	Yes	No	No	3870
mzspec:MSV000083773:U01_COM01_LAC_CAMHB_02_030min	-0.0	mzspec:MSV000083773:U01_COM01_LAC_CAMHB_02_030min:scan:1319	1	0.71	7	MSV000083773	NoID	MSV000083773/ccms_peak/U01_COM01_LAC_CAMHB_02_030min.mzML	MSV000083773/U01_COM01_LAC_CAMHB_02_030min.mzML	MSV000083773	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000083766:U01_COM01_LAC_CAMHB_11_180min	-0.0	mzspec:MSV000083766:U01_COM01_LAC_CAMHB_11_180min:scan:1336	1	0.71	7	MSV000083766	NoID	MSV000083766/peak/U01_COM01_LAC_CAMHB_11_180min.mzXML	MSV000083766/U01_COM01_LAC_CAMHB_11_180min.mzXML	MSV000083766	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000083766:U01_COM01_LAC_CAMHB_11_090min	-0.0	mzspec:MSV000083766:U01_COM01_LAC_CAMHB_11_090min:scan:1332	1	0.71	7	MSV000083766	NoID	MSV000083766/peak/U01_COM01_LAC_CAMHB_11_090min.mzXML	MSV000083766/U01_COM01_LAC_CAMHB_11_090min.mzXML	MSV000083766	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000084951:AH46	-0.0	mzspec:MSV000084951:AH46:scan:2418	1	0.71	7	MSV000084951	NoID	MSV000084951/raw/AH46.mzXML	MSV000084951/AH46.mzXML	MSV000084951	Bacillus amyloliquefaciens GZYCT-4	Bacillus amyloliquefaciens	1390	manual	Yes	No	No	3870
mzspec:MSV000080251:VVP024_TH_GB12_01_27017	0.0	mzspec:MSV000080251:VVP024_TH_GB12_01_27017:scan:1538	1	0.71	7	MSV000080251	NoID	MSV000080251/ccms_peak/CFStrains/Strains/VVP024_TH_GB12_01_27017.mzXML	MSV000080251/VVP024_TH_GB12_01_27017.mzXML	MSV000080251	Pseudomonas aeruginosa		287	automatic	Yes	No	No	3870
mzspec:MSV000083773:U01_COM01_LAC_CAMHB_11_180min	-0.0	mzspec:MSV000083773:U01_COM01_LAC_CAMHB_11_180min:scan:1336	1	0.71	7	MSV000083773	NoID	MSV000083773/ccms_peak/U01_COM01_LAC_CAMHB_11_180min.mzML	MSV000083773/U01_COM01_LAC_CAMHB_11_180min.mzML	MSV000083773	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000083773:U01_COM01_LAC_CAMHB_11_090min	-0.0	mzspec:MSV000083773:U01_COM01_LAC_CAMHB_11_090min:scan:1332	1	0.71	7	MSV000083773	NoID	MSV000083773/ccms_peak/U01_COM01_LAC_CAMHB_11_090min.mzML	MSV000083773/U01_COM01_LAC_CAMHB_11_090min.mzML	MSV000083773	Staphylococcus aureus		1280	automatic	No	No	No	3870
mzspec:MSV000082481:48hrs_3Crtl_HenTrial1_C3_P2-C-3_01_28294	0.01	mzspec:MSV000082481:48hrs_3Crtl_HenTrial1_C3_P2-C-3_01_28294:scan:219	1	0.71	6	MSV000082481	NoID	MSV000082481/ccms_peak/2_Control_Plates/48Hrs_3Ctrl/48hrs_3Crtl_HenTrial1_C3_P2-C-3_01_28294.mzML	MSV000082481/48hrs_3Crtl_HenTrial1_C3_P2-C-3_01_28294.mzML	MSV000082481	Bacteria		QC	automatic	No	No	Yes	3870
mzspec:MSV000082481:24hrs_3Crt_HenTrial1_H1_P1-H-1_01_28400	-0.0	mzspec:MSV000082481:24hrs_3Crt_HenTrial1_H1_P1-H-1_01_28400:scan:227	1	0.71	6	MSV000082481	NoID	MSV000082481/ccms_peak/2_Control_Plates/24Hrs_3Ctrl/24hrs_3Crt_HenTrial1_H1_P1-H-1_01_28400.mzML	MSV000082481/24hrs_3Crt_HenTrial1_H1_P1-H-1_01_28400.mzML	MSV000082481	Bacteria		2	automatic	No	No	No	3870
mzspec:MSV000081381:267M	-0.0	mzspec:MSV000081381:267M:scan:258	1	0.71	5	MSV000081381	NoID	MSV000081381/ccms_peak/198rootbacteria/267M.mzML	MSV000081381/267M.mzML	MSV000081381	Bacteria		2	automatic	No	No	No	3870
