FeatureID	13L.T1	13L.T13	13N.T1	13N.T13	14L.T1	14L.T13	14R.T1	14R.T13	15L.T1	15L.T13	16R.T1	16R.T13	17N.T1	17N.T13	17R.T1	17R.T13	18L.T1	18L.T13	18R.T13	20N.T1	20N.T13
f93d4475e6e833f785632216000980b0	23	58	88	15	66	34	8	9	187	19	70	11	20	14	41	65	40	7	39	82	13
ec75a38ab63ac3d827a41846cb8b6bb0	12	34	17	39	9	30	2	58	5	20	11	14	11	16	0	73	25	20	22	0	0
4a82bd055accf9b920d5236c896db635	0	2	0	1	0	2	0	3	0	0	0	0	4	0	0	1	5	2	0	0	0
a9cc6b4ce5dcfafb3e55a852256f5acb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ba3b9e93447fcc794830a10bd636b257	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0
e9f791a8d739d0d5bb114e9d6dd47a61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	10
e3f6ad4b3e6c8d1668daac8f91ad497e	25	14	10	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0
6150f2f6a4cf82b9914cb6c8bf73c93c	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0
ec732ad6f4d2f80391c0652775c07ef0	1	4	0	0	4	12	2	0	4	2	6	1	5	0	9	8	0	0	0	0	0
3a69cb2f27ac76a05405efbb5088d249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
699071a4a7ce68918e4cd93a61275ecd	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0
af59875f7699b66370290675c08385eb	0	0	0	0	172	24	15	4	0	0	0	0	0	0	0	0	0	0	0	0	0
2be8d27a0d6e81fe2e7f5b0d1000bb07	3	0	0	0	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	4	5
42af849d4a297e128dd2f63467c53c2e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
3ab446a7c5219627e54bdc9f4cee388c	3	3	0	0	0	3	2	3	0	17	0	0	0	5	0	2	0	9	0	0	5
896cab88673c4f58419e196d0a3546cd	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
4edec652aa6fdcf0eecdc7b3fc35abd4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d13dddb8f756f25d11fa819bd5b300fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	61
f08bbcf4cf1c5aaaf178be4b82cc6ea4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7da3df619234b604145d1885e0ca6876	1815	1288	861	937	349	499	326	698	299	234	114	116	592	110	191	364	284	101	429	107	229
b1d33ca822db18f9f6d41df976d5e603	0	4	0	1	151	78	25	53	3	0	75	25	38	10	62	15	0	0	0	0	0
666e2ee0d320b0e49078ed8a907ae558	0	0	0	0	0	3	0	0	0	2	0	2	0	0	2	0	0	0	0	0	2
6914456cb3115ba1d4aa9fdf8f5dd7ec	1121	1405	426	1196	100	625	68	1475	173	378	218	511	166	70	75	204	185	38	452	67	412
9b0549bb6e63f681bf133d2c7996055d	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ff308f2d6524527d5bdcb6d015f6c305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e4b17cd558b8590655cb6236bf15ac2a	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
a99d347a958cfb7fc17720a75e4847f2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ec0d9410c96cd5c374221cda821359fa	0	0	0	0	0	0	0	0	0	0	0	0	4	3	0	0	0	2	8	0	0
63a0adafdfb666b7e47754f7fc926faf	3	0	1	1	3	4	3	0	4	6	0	0	5	3	0	11	11	1	3	11	3
5ac8024dbc3fe2c08a445ccfe17035b5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
729ba264b6c21d955d4a4fc37d72db3d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ecd5fa7940d4be8ae1bf842d866ccee6	0	0	0	0	0	0	0	0	87	29	37	5	17	17	29	31	0	0	0	0	0
e0f234784df2494390ef5659eaa69184	16	38	50	7	29	22	3	23	151	91	98	38	29	9	65	16	9	2	73	211	147
4141af586669256fd20c1a573d3f3ad2	3	23	0	0	1	15	3	4	0	6	0	10	1	0	3	0	0	2	3	0	3
8e1196dc3d2b30058796446c0d686475	0	0	0	0	0	0	0	0	0	0	0	0	40	37	0	0	0	21	9	0	0
2ae4d6fb9a3b5d9b559f26bda87eeb3b	0	0	0	0	5	2	0	0	0	0	0	0	1	0	0	0	0	0	1	20	8
a7810d3069cbf6d0c54db6b9b67b1154	22	90	34	75	0	0	0	0	0	0	10	34	0	0	0	0	16	15	15	4	101
62a1d14f2646dc0d4a69650b625ad79b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
fb52df71394a54d567c86d70ed2514f9	38	32	13	8	37	7	10	6	0	0	0	0	6	5	0	0	4	0	4	0	0
9915a182cf479cb140ba2e3864abd040	2	11	0	0	57	11	10	9	8	13	15	0	13	4	46	4	0	0	59	6	5
f00e355475dfc38e4fccc799cf81db0d	21	32	30	18	18	15	43	7	40	29	22	5	31	38	9	44	41	61	16	5	4
eb4104bfe7ff965e7288b9e381317aa8	17	19	37	9	8	5	2	0	33	2	9	4	10	9	8	16	15	0	0	123	29
95e6b200a9338cd774bd17d222abfbe6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3
97525d2e1aee047c16dc6d32a3bdab87	3	3	14	0	8	2	4	2	28	3	7	0	0	0	0	4	15	1	5	10	4
