FeatureID	13L.N1	13N.N1	14L.N1	14L.N13	14R.N1	15L.N1	15L.N13	16R.N1	16R.N13	17N.N1	17N.N13	17R.N1	18L.N1	18L.N13	18R.N13	19R.N1	20N.N1	20N.N13
329b37aa52492b9afe45e2e71f73b685	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	93	4
2742896eeb8b66cacfa0e3cb8ce36cfe	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3c9c437f27aca05f8db167cd080ff1ec	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
61bd53c2c3d58f776ce467483ae37749	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
fc5b974c574daac4bdd7fa5c979638b3	1	8	13	2	3	6	0	10	4	9	0	0	6	0	0	0	4	15
f1cc71ba3d3e0e9964c58dafa8a8bbc0	7	7	7	0	0	2	0	4	11	4	11	2	84	0	0	2	94	55
c00c83c580e045a0d3ea7e5522c30e83	55	16	16	47	17	45	67	90	17	43	22	14	28	7	6	11	9	2
a538fda256b4cae4a5ade4882f8d6e38	13	25	13	11	18	3	0	7	10	33	28	2	97	11	7	1	7	4
fb52df71394a54d567c86d70ed2514f9	34	16	23	3	11	0	0	0	0	63	7	4	7	0	0	12	0	0
0bb796588cb052d2a5a49bd17a7bac3a	1	11	30	0	3	1	0	5	1	2	0	0	2	0	0	0	5	0
719b9254db7c26cbd23e23a2fb73c260	8	10	1	0	6	0	0	8	0	0	0	0	1	0	0	0	0	5
f00e355475dfc38e4fccc799cf81db0d	12	5	36	56	12	30	26	7	23	21	29	88	54	48	5	11	22	12
7c57afe3b6b21af9d22cea9e92af463b	91	162	418	216	338	204	64	1259	758	367	369	2058	455	459	2	5	455	293
1c40ac02c49ea9e03881b0f183373417	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
9944373b4cb7964c0428f19357a0362e	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
f03b237847b87c89097cdf5f096bc479	7	6	16	5	5	16	0	4	2	32	7	54	16	5	136	4	36	9
1a8f4d78785f78a1ac4e95b79749e6ca	52	254	69	23	192	127	51	275	116	136	46	4	4	4	21	297	296	205
fbc186af4b350b9dca3fb521f8efe40f	34	6	9	9	0	0	0	0	0	12	4	0	7	1	6	7	22	10
63a0adafdfb666b7e47754f7fc926faf	0	2	9	6	6	16	3	10	7	48	11	19	51	0	9	11	111	10
d13dddb8f756f25d11fa819bd5b300fb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	15
d6a421ec5d04dc62afcae806a265383d	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4394a96eb94f6dc2e94e99bcf801ef17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33b1815599feec2d674815d6ababcd36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d0b9517a6f26f847e3bf839cad5d1633	103	39	4	0	0	0	0	0	0	32	43	25	6	5	49	0	0	0
8e1196dc3d2b30058796446c0d686475	0	0	0	0	0	0	0	0	0	6	51	20	10	19	0	0	0	0
f85b2a937e5b10dd9f5aa30343c7da4d	0	0	0	0	0	0	0	0	0	4	0	0	0	2	18	2	9	3
