FeatureID	mz	RT	mtb_group
621	381.1873692	1.006547908	unknown
622	382.189979	3.339899679	unknown
623	382.2077896	3.264327624	unknown
624	382.2451789	1.89532404	amines
625	387.1077237	4.303013562	unknown
626	387.1633817	2.00212464	unknown
627	387.3218489	6.530237448	unknown
628	392.2543883	3.649012194	amines
629	392.3155395	6.998595011	bile acids
630	394.2777448	7.701071328	fatty acids & other lipids
631	400.2808755	7.087724744	unknown
632	401.2106376	5.573252918	unknown
633	403.102354	3.831594079	unknown
634	404.2465992	6.728365961	bile acids
635	407.2395699	3.106529036	unknown
636	408.3085541	9.646918058	unknown
637	409.089666	4.315518448	unknown
638	413.141929	1.856532571	unknown
639	413.2662112	4.907107344	unknown
640	413.377932	9.70902554	carnitines
641	415.2913817	3.601461209	amines
642	418.3440152	9.649850936	carnitines
643	419.2142367	1.220943736	unknown
644	421.3403035	7.537276513	unknown
645	423.1994396	4.533136301	unknown
646	425.1921366	2.22872645	unknown
647	426.2615379	6.768573309	fatty acids & other lipids
648	426.3214844	5.821381117	bile acids
649	428.1897913	2.502406338	unknown
650	428.1899793	2.402243834	unknown
651	428.7014352	2.235330404	unknown
652	434.2936969	8.198860304	unknown
653	438.2980179	7.745114619	fatty acids & other lipids
654	441.1990577	9.184316899	unknown
655	441.3077119	3.073150143	amines
656	444.308526	7.951431065	unknown
657	447.2453837	1.921205734	unknown
658	456.719624	2.030142823	unknown
659	457.3387782	3.632006523	amines
660	461.1704741	1.827743706	unknown
661	464.3139977	7.915406312	fatty acids & other lipids
662	466.3295766	8.418669605	fatty acids & other lipids
663	471.2249529	6.510931737	unknown
664	477.219724	0.668305451	unknown
665	478.2625806	3.699384515	bile acids
666	480.3148933	5.610636822	bile acids
667	482.3609982	7.780147398	phosphocholines
668	482.7284462	1.800414838	unknown
669	489.256041	2.18603624	unknown
670	495.3175639	4.028349049	unknown
671	502.2839896	3.527567183	bile acids
672	504.2082688	3.472579173	unknown
673	504.2761833	4.533638024	bile acids
674	507.2733043	4.030355112	bile acids
675	509.2892603	4.267308458	bile acids
676	514.2876254	2.260388969	unknown
677	526.3142701	8.164511407	fatty acids & other lipids
678	533.2895957	4.53373685	bile acids
679	534.2773621	1.355623665	unknown
680	534.3433792	5.206754864	unknown
681	538.2811924	4.083334104	bile acids
682	541.7854214	3.544489555	unknown
683	544.2979333	2.386485742	unknown
684	548.2566706	1.563098876	unknown
685	549.2907877	2.654803108	unknown
686	555.3102963	5.905494694	unknown
687	561.3209868	5.131717887	bile acids
688	562.2723229	2.321307762	unknown
689	565.3524716	5.65672771	bile acids
690	571.3475113	4.70524596	bile acids
691	576.2877361	2.241848259	unknown
692	580.3421576	7.462988807	unknown
693	584.2628878	10.25588739	unknown
694	588.3745468	4.714144291	bile acids
695	593.3312475	4.749936606	unknown
696	597.2876937	4.5441009	bile acids
697	606.3139296	2.90325624	unknown
698	625.2833485	2.111617364	unknown
699	628.3823654	3.624602344	unknown
700	633.3573908	6.893771599	unknown
701	635.2824721	4.25042627	unknown
702	639.3178386	3.485613015	unknown
703	645.8071728	2.71505542	unknown
704	650.3126922	2.422976326	unknown
