CLUSTERID1	CLUSTERID2	ComponentIndex	Cosine	DeltaMZ
1866	3704	12	0.9002	-160.108
3011	4358	12	0.8466	-168.188
4318	4358	12	0.8917	1.978
1866	1887	12	0.9557	-88.053
3011	3845	12	0.887	-154.172
3011	3449	12	0.874	-176.104
1728	3011	12	0.8651	-378.242
3704	4342	12	0.9223	88.052
4319	4343	12	0.9237	-42.047
4318	4323	12	0.883	-116.085
1831	4320	12	0.8839	-198.199
1866	4320	12	0.9038	-102.069
1887	4319	12	0.9218	14.016
1896	3704	12	0.9119	-28.030
4318	4342	12	0.9161	-42.047
1728	3547	12	0.8966	-466.295
3011	3653	12	0.8761	-132.078
3011	3547	12	0.8968	-88.053
4320	4342	12	0.902	30.013
4319	4323	12	0.9095	-72.057
4320	4343	12	0.9463	-14.016
1831	3449	12	0.9366	-132.078
1877	4342	12	0.9352	-28.030
1728	1831	12	0.9041	-422.269
1831	3547	12	0.9398	-44.026
1877	3704	12	0.9044	-116.082
1831	1866	12	0.9101	-96.130
4342	4343	12	0.9271	-44.029
1896	4343	12	0.9052	15.994
1887	1896	12	0.9283	-44.026
1896	4323	12	0.9001	-14.015
3704	4323	12	0.8957	14.014
1877	3653	12	0.8956	52.105
4323	4342	12	0.8892	74.038
1887	3704	12	0.9154	-72.055
1877	4320	12	0.8867	-58.043
1877	4323	12	0.8867	-102.068
1831	4342	12	0.8982	-168.186
3704	4343	12	0.9155	44.024
1866	3547	12	0.8966	52.104
3704	4320	12	0.9302	58.039
646	1641	13	0.8004	33.984
1425	3860	13	0.7177	-97.052
1641	1752	13	0.7772	-15.995
646	4412	13	0.8288	-50.016
172	1425	13	0.7921	-56.064
646	850	13	0.8901	48.000
596	1660	13	0.739	-113.047
1660	3892	13	0.7253	-212.118
1641	3860	13	0.7627	-113.084
1752	3860	13	0.7913	-97.089
850	1641	13	0.8374	-14.016
596	646	13	0.735	-97.053
588	596	13	0.8544	-18.011
646	1660	13	0.9461	-15.995
1425	1738	13	0.8305	42.048
1425	1641	13	0.7051	16.031
1425	1752	13	0.7807	0.037
1660	1752	13	0.8494	33.984
172	1738	13	0.8142	-14.016
646	3892	13	0.7238	-228.112
1660	4412	13	0.8146	-34.021
2228	3255	14	0.8139	-42.010
2220	3255	14	0.8066	-56.025
2220	2228	14	0.8941	-14.015
1306	3990	15	0.747	63.995
118	3975	15	0.92	-0.000
1830	3990	15	0.7714	48.000
118	3989	15	0.9099	-14.016
118	185	15	0.8451	-48.000
118	215	15	0.8034	-63.995
2885	3990	15	0.8741	0.000
185	1830	15	0.8718	-14.016
185	3989	15	0.9608	33.984
118	2885	15	0.8643	-14.016
118	3990	15	0.8203	-14.016
1306	1830	15	0.9244	15.995
3989	3990	15	0.8195	0.000
215	3989	15	0.925	49.979
185	3975	15	0.8481	48.000
2885	3975	15	0.8157	14.016
3975	3990	15	0.7948	-14.016
215	3990	15	0.7559	49.979
185	3990	15	0.7914	33.984
3975	3989	15	0.8674	-14.016
1306	2885	15	0.8309	63.995
1830	2885	15	0.8599	48.000
215	1306	15	0.8503	-14.016
185	215	15	0.9638	-15.995
