Animal	zt_time_binned	condition	mn_RER	sd_RER	mn_MotorAct	sd_MotorAct	mn_WaterCons	sd_WaterCons	mn_kcal_hr_M	sd_kcal_hr_M	mn_FoodCons	sd_FoodCons	mn_kcalCons	sd_kcalCons	mn_Sleep_pct_M	sd_Sleep_pct_M
4	13	FT	0.6972548375	0.0125406928414135	0.7965693625	0.563128639964871	0.2778611625	0.367417096876724	0.4173837375	0.107949609938698	0.1052511625	0.143076534754664	0.548358556625	0.745428746071799	57.5763875	30.4757215010524
4	17	FT	0.6401863	0.0115847191142963	1.374776375	0.449417268953582	0.756937375	0.0528706524641238	0.5511260375	0.0488303008391288	0.2530252125	0.0463519295479838	1.318261357125	0.241493552944996	29.826390125	18.3450952935665
4	21	FT	0.6326298125	0.0195820630501077	1.437875625	0.285245041091709	0.564206875	0.179328304541808	0.5371870375	0.0650709542137315	0.17169825	0.128220353094362	0.8945478825	0.668028039621625	27.493055375	18.3734814752631
5	1	FT	0.759263075	0.0643498984297243	0.460779074999999	0.361542232900605	0.0838670000000001	0.089684577592806	0.471500275	0.0388965951847866	0	0	0	0	69.8263875	23.8612697290251
5	5	FT	0.667479508333333	0.0494143954185502	0.179386666666667	0.264831433969312	0.0268702166666667	0.030912918089334	0.424149658333333	0.0538271798681916	0	0	0	0	88.2754633333333	17.4773638608169
5	9	FT	0.69266545	0.0158726477056782	0.13913901625	0.137982689154953	0.0182622875	0.0128657184650236	0.417520775	0.0321573199703649	0	0	0	0	92.21180625	8.82725352882916
5	13	FT	0.7281988375	0.0256989987897215	0.515364624999999	0.329418449185373	0.061903475	0.0883018425399534	0.527904475	0.0924895398462326	0.0830135	0.11657142645031	0.432500335	0.607337131806114	53.868055	30.8971305510315
5	17	FT	0.7501830375	0.0272082476418424	0.561760625	0.216543160306893	0.2225145375	0.069684246879702	0.5725291125	0.0315322971965678	0.226668125	0.151566811463307	1.18094093125	0.789663087723828	51.71875125	24.2138903543025
5	21	FT	0.7328153125	0.02661641003025	1.03604025	0.304343654547549	0.211842125	0.118683967339964	0.5791696875	0.0662058994286426	0.176398875	0.126118520378296	0.91903813875	0.657077491170923	34.881943125	23.7602301525356
7	1	FA	0.6908816	0.0471571540388094	0.854870000000001	0.323092851153762	0.236297	0.0457502440212068	0.488519175	0.0506250204292551	0.12856825	0.224666222097545	0.6698405825	1.17051101712821	42.479165	13.7827670345846
7	5	FA	0.662499016666667	0.0149662555899374	0.909323300000001	0.461446268749845	0.183320883333333	0.120239546569049	0.488645216666667	0.0863342328134078	0.0505943575	0.051694306772855	0.263596602575	0.269327338286575	49.8379635833333	24.9708051079712
7	9	FA	0.6673180375	0.0154162813718797	0.521919	0.144487970679717	0.222349	0.108815905795063	0.4270579875	0.0207912357979055	0.0949177625	0.0455665408782722	0.494521542625	0.237401677975798	64.77430375	8.42326507494051
7	13	FA	0.68535225	0.00891776278959184	0.898278125000001	0.295821851626201	0.41425275	0.154340234761434	0.5137560625	0.0784296246682689	0.1422635	0.045813483706718	0.741192835	0.238688250112001	38.80555625	19.5497984790943
7	17	FA	0.6529834	0.0186437688938078	0.95850725	0.435968462139752	0.44575675	0.0930986595096834	0.524893125	0.0409420060916745	0.1513885	0.0389712231561407	0.788734085	0.203040072643493	40.194444625	24.0667739615294
